course,file,ext,w,h,ratio,verdict,note
AE115_-_University_of_Waterloo,100_6.04_Exception_classes.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,101_6.05_A_widget_class_for_grphaical_user_interfaces.pdf,.pdf,720,540,1.3333,slide,
AE115_-_University_of_Waterloo,102_6.05_A_widget_class_for_grphaical_user_interfaces.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,103_7.13_Switch_statement.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,104_7.5_Counting_sort.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,105_0.Welcome.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,106_A_polynomial_class.pdf,.pdf,612,792,0.7727,document,
AE115_-_University_of_Waterloo,107_Date_class.pdf,.pdf,612,792,0.7727,document,
AE115_-_University_of_Waterloo,10_1.09_Logical_operators.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,11_1.11_For_loops.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,12_1.11_For_loops.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,13_1.12_Scope_of_local_variables.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,14_1.12_Scope_of_local_variables.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,15_1.13_Break_statements.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,16_1.13_Break_statements.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,17_1.14_While_loops.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,18_1.15_Structured_programming_theorem.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,19_1.16_The_call_stack.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,1_1.01_Hello_world.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,20_1.16_The_call_stack.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,21_1.17_Libraries_and_calling_functions.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,22_1.17_Libraries_and_calling_functions.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,23_1.18_Writing_functions.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,24_1.18_Writing_functions.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,25_1.18a_Function_tutorial.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,26_1.18b_Compiler_errors.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,27_1.19_Assertions.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,28_1.20_Code_development_strategies.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,29_1.21_Testing.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,2_1.02_Anatomy_of_a_program.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,30_1.22_Comments.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,31_1.23_Logging.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,32_1.24_Debugging.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,33_1.25_Binary_and_hexadecimal.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,34_1.26_Integer_data_types.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,35_1.27_Bit-wise_and_-shift_operators.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,36_1.28_Floating-point_data_types.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,37_1.29_The_const_keyword.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,38_1.30_Default_values_of_parameters.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,39_1.31_References_and_aliases.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,3_1.03_Literal_data.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,40_1.32_Arrays.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,41_1.33_More_on_arrays.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,42_1.34_Main_memory.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,43_1.35_Call_stack.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,44_1.36_C-style_strings.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,45_1.37_Section_1_summary.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,46_1.A_Ternary_operator.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,47_2.01_Addresses_and_pointers.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,48_2.02_Dynamic_memory_allocation.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,49_2.03_Dynamic_allocation_of_arrays.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,4_1.04_Identifiers.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,50_2.04_Lifetime_of_dynamically_allocated_memory.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,51_2.05_Problems_with_pointers.pptx,.pptx,960,720,1.3333,slide,
AE115_-_University_of_Waterloo,52_2.05.1_Wild_pointers.pptx,.pptx,960,720,1.3333,slide,
