folder,course_college,course_code,college_name,course_date,within3,instructor,rmp_matched_name,rmp_status,rmp_profile_url,rmp_course_num_ratings,rmp_course_avg_quality,rmp_course_avg_difficulty,rmp_course_would_take_again_pct,rmp_prof_avg_rating_overall,rmp_prof_avg_difficulty_overall,rmp_prof_num_ratings_overall,rmp_num_reviews_in_file
64,BUEC333 - Simon Fraser University,BUEC333,Simon Fraser University,2011,4,Simon D. Woodcock,Simon Woodcock,found,https://www.ratemyprofessors.com/professor/304369,17,4.12,3.12,5.9,3.9,2.8,35,17
65,ECON2030 - Auburn University,ECON2030,Auburn University,2011,12,Roger W. Garrison,Roger Garrison,found,https://www.ratemyprofessors.com/professor/80796,45,2.87,3.38,0.0,3.0,3.2,83,45
66,CSE342 - Lehigh University,CSE342,Lehigh University,2010,4,Mooi C. Chuah,Mooi Chuah,found,https://www.ratemyprofessors.com/professor/447487,5,3.0,3.8,0.0,3.0,3.7,25,5
67,EE230 - Iowa State University,EE230,Iowa State University,2010,4,Randy Geiger,Randall Geiger,found,https://www.ratemyprofessors.com/professor/66398,5,3.4,5.0,0.0,3.0,4.5,39,5
68,CEG402 - Wright State University,CEG402,Wright State University,2006,4,Bin Wang,Bin Wang,found,https://www.ratemyprofessors.com/professor/423394,7,2.57,3.86,0.0,2.7,3.5,19,7
69,COMS207 - Iowa State University,COMS207,Iowa State University,2006,5,Alexander Stoytchev,Alexander Stoytchev,found,https://www.ratemyprofessors.com/professor/787989,5,3.8,3.6,0.0,4.6,3.4,85,5
70,CS1502 - University of Pittsburgh,CS1502,University of Pittsburgh,2006,4,George Novacky,George Novacky,found,https://www.ratemyprofessors.com/professor/9339,8,4.75,2.38,0.0,4.0,2.8,58,8
71,CSCI3022 - University of Colorado Boulder,CSCI3022,University of Colorado Boulder,2021,4,Murray William Cox,Murray Cox,found,https://www.ratemyprofessors.com/professor/2010788,4,3.75,3.25,75.0,3.2,3.8,79,4
72,MACM101 - Simon Fraser University,MACM101,Simon Fraser University,2016,7,Ramesh Krishnamurti,Ramesh Krishnamurti,found,https://www.ratemyprofessors.com/professor/21747,7,1.86,2.86,0.0,2.2,3.4,55,7
73,CS6360 - University of Texas at Dallas,CS6360,University of Texas at Dallas,2019,20,Murat Kantarcioglu,Murat Kantarcioglu,found,https://www.ratemyprofessors.com/professor/1073398,23,2.17,4.39,21.7,2.4,4.3,28,23
