category	course_college	url	reason
noslides	COMP0015 - Tufts University	https://sites.tufts.edu/comp15/	no
noslides	COMP2710 - Auburn University	https://www.eng.auburn.edu/~xqin/courses/comp2710/fall09/lectures.htm	no
noslides	COMP310 - McGill University	http://cs.mcgill.ca/media/academic/courses/17_COMP_310_7ixXA0V.pdf	no
noslides	COMP322 - McGill University	http://cs.mcgill.ca/media/academic/courses/19_COMP_322_Pv4bTGh.pdf	no
noslides	COMP7500 - Auburn University	https://www.eng.auburn.edu/~xqin/courses/comp7500/lectures.htm	no
noslides	COSC1320 - University of Houston	https://www2.cs.uh.edu/~chengu/Teaching/Spring2014/Spring2014_COSC1320.html	no
noslides	CPSC449 - University of Calgary	https://pages.cpsc.ucalgary.ca/~robin/class/449/webnotes.html	no
noslides	CS0447 - University of Pittsburgh	https://people.cs.pitt.edu/~jmisurda/teaching/cs0447-2134-index.htm	no
noslides	CS0449 - University of Pittsburgh	https://people.cs.pitt.edu/~jacklange/teaching/cs449-s15/	no
noslides	CS102 - Cooper Union	https://hong3cooper.github.io/cs102c_fall2024.html	html
noslides	CS104C - University of Texas at Austin	https://www.cs.utexas.edu/~downing/cs104c/	no
noslides	CS1114 - Virginia Tech	https://raw.githubusercontent.com/mikesir87/cs1114/master/slides/01-intro/slides.md	no
noslides	CS132 - Boston University	https://nmmull.github.io/CS132-F23/index.html	no
noslides	CS1699 - University of Pittsburgh	https://ryanzshi.github.io/f24-cs1699.html	no
noslides	CS181 - Stanford University	https://stanfordcs181.github.io/	no
noslides	CS181W - Stanford University	https://stanfordcs181.github.io/	no
noslides	CS2104 - Virginia Tech	https://courses.cs.vt.edu/cs2104/Spring12Onufriev/	no
noslides	CS303 - College of William & Mary	https://www.cs.wm.edu/~tadavis/cs303/	multipaged ppts
noslides	CS3251 - Vanderbilt University	https://www.dre.vanderbilt.edu/~schmidt/cs251/C++/lectures/PPTs/1-Introduction.pptx	no
noslides	CS3281 - Vanderbilt University	https://patrickpei.github.io/vu/cs3281/	no
noslides	CS3333 - University of Texas at San Antonio	https://www.cs.utsa.edu/faculty/boppana/3333/	handwritten notes on pdfs
