Professors to fetch: 300 (already done: 0)
  [265/300] Timothy Jamison (id=1134541) ... ok (3 ratings)
  [266/300] Jonathan Byrnes (id=362706) ... ok (3 ratings)
  [267/300] Miyuki Hatano Cohen (id=877827) ... ok (5 ratings)
  [268/300] John Brisson (id=1013404) ... ok (1 ratings)
  [269/300] Les Perelman (id=1244814) ... ok (2 ratings)
  [270/300] Suzanne Berger (id=1082479) ... ok (2 ratings)
  [271/300] Jay Scheib (id=842574) ... ok (3 ratings)
  [272/300] Shankar Raman (id=367160) ... ok (4 ratings)
  [273/300] Gerald Schneider (id=121079) ... ok (2 ratings)
  [274/300] Rebecca Faery (id=812622) ... ok (5 ratings)
  [275/300] William Reyes Cubides (id=858785) ... ok (4 ratings)
  [276/300] Peter Szolovits (id=121239) ... ok (5 ratings)
  [277/300] Alan Berger (id=1265985) ... ok (1 ratings)
  [278/300] Bassam Kassab (id=1094339) ... ok (2 ratings)
  [279/300] Peter Weise (id=1303383) ... ok (1 ratings)
  [280/300] David Bartel (id=1297632) ... ok (1 ratings)
  [281/300] Meg Jacobs (id=508978) ... ok (6 ratings)
  [282/300] Roman Bezrukavnikov (id=1982604) ... ok (1 ratings)
  [283/300] Harlan Breindel (id=1992979) ... ok (1 ratings)
  [284/300] Silvio Micali (id=1668253) ... ok (1 ratings)
  [285/300] Edwin Pell IV (id=2995352) ... ok (0 ratings)
  [286/300] Polina Anikeeva (id=3080742) ... ok (0 ratings)
  [287/300] Joseph Formaggio (id=3080744) ... ok (0 ratings)
  [288/300] Nike Sun (id=3088531) ... ok (0 ratings)
  [289/300] Sebastian Lourido (id=2953508) ... ok (0 ratings)
  [290/300] Lawrence Udeigwe (id=2946256) ... ok (0 ratings)
  [291/300] bob smith (id=2935929) ... ok (0 ratings)
  [292/300] Stefanie Jegelka (id=2906890) ... ok (0 ratings)
  [293/300] Sherry Turkle (id=2981330) ... ok (0 ratings)
  [294/300] Joshua Angrist (id=2677897) ... ok (0 ratings)
  [295/300] Kristin Forbes (id=2676655) ... ok (0 ratings)
  [296/300] Thomas Eagar (id=2669923) ... ok (0 ratings)
  [297/300] Richard Linares (id=2514987) ... ok (0 ratings)
  [298/300] Negin Golrezaei (id=2771911) ... ok (0 ratings)
  [299/300] Andrea Walsh (id=2743831) ... ok (0 ratings)
  [300/300] Bruce Tidor (id=2789144) ... ok (0 ratings)

Done.
professor_details rows : 300
professor_ratings rows : 1653
