course_code,course_title,category,term,instructor,rmp_name,department,quality,difficulty,num_ratings,would_take_again_pct,match_type,profile_url
CSE154,Web Programming,Introductory/Pre-Major,22su,Wolman,Tal Wolman,Computer Science,3.6,4.2,12,50.0,unique,https://www.ratemyprofessors.com/professor/2773076
CSE154,Web Programming,Introductory/Pre-Major,23au,Wolman,Tal Wolman,Computer Science,3.6,4.2,12,50.0,unique,https://www.ratemyprofessors.com/professor/2773076
CSE154,Web Programming,Introductory/Pre-Major,23sp,Wolman,Tal Wolman,Computer Science,3.6,4.2,12,50.0,unique,https://www.ratemyprofessors.com/professor/2773076
CSE154,Web Programming,Introductory/Pre-Major,23su,Wolman,Tal Wolman,Computer Science,3.6,4.2,12,50.0,unique,https://www.ratemyprofessors.com/professor/2773076
CSE154,Web Programming,Introductory/Pre-Major,24au,Wolman,Tal Wolman,Computer Science,3.6,4.2,12,50.0,unique,https://www.ratemyprofessors.com/professor/2773076
CSE154,Web Programming,Introductory/Pre-Major,24sp,Wolman,Tal Wolman,Computer Science,3.6,4.2,12,50.0,unique,https://www.ratemyprofessors.com/professor/2773076
CSE154,Web Programming,Introductory/Pre-Major,24su,Wolman,Tal Wolman,Computer Science,3.6,4.2,12,50.0,unique,https://www.ratemyprofessors.com/professor/2773076
CSE154,Web Programming,Introductory/Pre-Major,25au,Wolman,Tal Wolman,Computer Science,3.6,4.2,12,50.0,unique,https://www.ratemyprofessors.com/professor/2773076
CSE160,Data Programming,Introductory/Pre-Major,15sp,Anderson,Ruth Anderson,Computer Science,3.9,3.3,57,74.4186,ambiguous,https://www.ratemyprofessors.com/professor/1356337
CSE160,Data Programming,Introductory/Pre-Major,16wi,Anderson,Ruth Anderson,Computer Science,3.9,3.3,57,74.4186,ambiguous,https://www.ratemyprofessors.com/professor/1356337
CSE160,Data Programming,Introductory/Pre-Major,17wi,Anderson,Ruth Anderson,Computer Science,3.9,3.3,57,74.4186,ambiguous,https://www.ratemyprofessors.com/professor/1356337
CSE160,Data Programming,Introductory/Pre-Major,18sp,Anderson,Ruth Anderson,Computer Science,3.9,3.3,57,74.4186,ambiguous,https://www.ratemyprofessors.com/professor/1356337
CSE160,Data Programming,Introductory/Pre-Major,19wi,Anderson,Ruth Anderson,Computer Science,3.9,3.3,57,74.4186,ambiguous,https://www.ratemyprofessors.com/professor/1356337
CSE160,Data Programming,Introductory/Pre-Major,19wi,Gan,Emilia Gan,Computer Science,1.0,5.0,1,0.0,unique,https://www.ratemyprofessors.com/professor/2466755
CSE160,Data Programming,Introductory/Pre-Major,20au,Anderson,Ruth Anderson,Computer Science,3.9,3.3,57,74.4186,ambiguous,https://www.ratemyprofessors.com/professor/1356337
CSE160,Data Programming,Introductory/Pre-Major,20wi,Anderson,Ruth Anderson,Computer Science,3.9,3.3,57,74.4186,ambiguous,https://www.ratemyprofessors.com/professor/1356337
CSE160,Data Programming,Introductory/Pre-Major,21au,Anderson,Ruth Anderson,Computer Science,3.9,3.3,57,74.4186,ambiguous,https://www.ratemyprofessors.com/professor/1356337
CSE160,Data Programming,Introductory/Pre-Major,21wi,Thompson,,,,,,,no_cs_match,
CSE160,Data Programming,Introductory/Pre-Major,22au,Anderson,Ruth Anderson,Computer Science,3.9,3.3,57,74.4186,ambiguous,https://www.ratemyprofessors.com/professor/1356337
CSE160,Data Programming,Introductory/Pre-Major,22su,Cheung,Alvin Cheung,Computer Science,4.0,3.4,12,75.0,ambiguous,https://www.ratemyprofessors.com/professor/2120358
CSE160,Data Programming,Introductory/Pre-Major,22wi,Fitz Gibbon,Andrew Gibbon,Computer Science,2.9,3.9,17,41.1765,unique,https://www.ratemyprofessors.com/professor/2518735
CSE160,Data Programming,Introductory/Pre-Major,23au,Cheung,Alvin Cheung,Computer Science,4.0,3.4,12,75.0,ambiguous,https://www.ratemyprofessors.com/professor/2120358
CSE160,Data Programming,Introductory/Pre-Major,23sp,Fitz Gibbon,Andrew Gibbon,Computer Science,2.9,3.9,17,41.1765,unique,https://www.ratemyprofessors.com/professor/2518735
CSE160,Data Programming,Introductory/Pre-Major,23su,Ong,Angie Ong,Education,3.7,2.7,3,66.6667,unique,https://www.ratemyprofessors.com/professor/2681134
CSE160,Data Programming,Introductory/Pre-Major,23wi,Fitz Gibbon,Andrew Gibbon,Computer Science,2.9,3.9,17,41.1765,unique,https://www.ratemyprofessors.com/professor/2518735
CSE160,Data Programming,Introductory/Pre-Major,24au,Fitz Gibbon,Andrew Gibbon,Computer Science,2.9,3.9,17,41.1765,unique,https://www.ratemyprofessors.com/professor/2518735
CSE160,Data Programming,Introductory/Pre-Major,24sp,Fitz Gibbon,Andrew Gibbon,Computer Science,2.9,3.9,17,41.1765,unique,https://www.ratemyprofessors.com/professor/2518735
CSE160,Data Programming,Introductory/Pre-Major,24su,Bessler,,,,,,,not_found,
CSE160,Data Programming,Introductory/Pre-Major,24wi,Fitz Gibbon,Andrew Gibbon,Computer Science,2.9,3.9,17,41.1765,unique,https://www.ratemyprofessors.com/professor/2518735
CSE160,Data Programming,Introductory/Pre-Major,25au,Salguero,Adrian Salguero,Computer Science,5.0,2.8,4,100.0,unique,https://www.ratemyprofessors.com/professor/3076738
CSE160,Data Programming,Introductory/Pre-Major,25sp,Fitz Gibbon,Andrew Gibbon,Computer Science,2.9,3.9,17,41.1765,unique,https://www.ratemyprofessors.com/professor/2518735
CSE160,Data Programming,Introductory/Pre-Major,25su,Salguero,Adrian Salguero,Computer Science,5.0,2.8,4,100.0,unique,https://www.ratemyprofessors.com/professor/3076738
CSE160,Data Programming,Introductory/Pre-Major,25wi,Salguero,Adrian Salguero,Computer Science,5.0,2.8,4,100.0,unique,https://www.ratemyprofessors.com/professor/3076738
CSE160,Data Programming,Introductory/Pre-Major,26sp,Lin,Kevin Lin,Computer Science,1.8,3.5,215,18.9815,cs-dept,https://www.ratemyprofessors.com/professor/2574020
CSE160,Data Programming,Introductory/Pre-Major,26su,Salguero,Adrian Salguero,Computer Science,5.0,2.8,4,100.0,unique,https://www.ratemyprofessors.com/professor/3076738
CSE160,Data Programming,Introductory/Pre-Major,26wi,Anderson,Ruth Anderson,Computer Science,3.9,3.3,57,74.4186,ambiguous,https://www.ratemyprofessors.com/professor/1356337
CSE160,Data Programming,Introductory/Pre-Major,26wi,Weichert,,,,,,,not_found,
CSE163,Intermediate Data Programming,Introductory/Pre-Major,19sp,Schafer,Hunter Schafer,Computer Science,4.2,3.3,57,82.6923,unique,https://www.ratemyprofessors.com/professor/2002528
CSE163,Intermediate Data Programming,Introductory/Pre-Major,20sp,Schafer,Hunter Schafer,Computer Science,4.2,3.3,57,82.6923,unique,https://www.ratemyprofessors.com/professor/2002528
CSE163,Intermediate Data Programming,Introductory/Pre-Major,20su,Riley,Nicole Riley,Computer Science,0.0,0.0,0,-1.0,cs-dept,https://www.ratemyprofessors.com/professor/2531715
CSE163,Intermediate Data Programming,Introductory/Pre-Major,20wi,Schafer,Hunter Schafer,Computer Science,4.2,3.3,57,82.6923,unique,https://www.ratemyprofessors.com/professor/2002528
CSE163,Intermediate Data Programming,Introductory/Pre-Major,21sp,Lin,Kevin Lin,Computer Science,1.8,3.5,215,18.9815,cs-dept,https://www.ratemyprofessors.com/professor/2574020
CSE163,Intermediate Data Programming,Introductory/Pre-Major,21su,Pardeshi,Soham Pardeshi,Computer Science,4.7,3.7,3,100.0,unique,https://www.ratemyprofessors.com/professor/2351017
CSE163,Intermediate Data Programming,Introductory/Pre-Major,21wi,Schafer,Hunter Schafer,Computer Science,4.2,3.3,57,82.6923,unique,https://www.ratemyprofessors.com/professor/2002528
CSE163,Intermediate Data Programming,Introductory/Pre-Major,22sp,Schafer,Hunter Schafer,Computer Science,4.2,3.3,57,82.6923,unique,https://www.ratemyprofessors.com/professor/2002528
CSE163,Intermediate Data Programming,Introductory/Pre-Major,22su,Qiu,,,,,,,not_found,
CSE163,Intermediate Data Programming,Introductory/Pre-Major,22wi,Schafer,Hunter Schafer,Computer Science,4.2,3.3,57,82.6923,unique,https://www.ratemyprofessors.com/professor/2002528
CSE163,Intermediate Data Programming,Introductory/Pre-Major,23sp,Lin,Kevin Lin,Computer Science,1.8,3.5,215,18.9815,cs-dept,https://www.ratemyprofessors.com/professor/2574020
CSE163,Intermediate Data Programming,Introductory/Pre-Major,23su,Choi,,,,,,,no_cs_match,
CSE163,Intermediate Data Programming,Introductory/Pre-Major,23wi,Schafer,Hunter Schafer,Computer Science,4.2,3.3,57,82.6923,unique,https://www.ratemyprofessors.com/professor/2002528
CSE163,Intermediate Data Programming,Introductory/Pre-Major,24sp,Lin,Kevin Lin,Computer Science,1.8,3.5,215,18.9815,cs-dept,https://www.ratemyprofessors.com/professor/2574020
CSE163,Intermediate Data Programming,Introductory/Pre-Major,24su,Mei,,,,,,,not_found,
CSE163,Intermediate Data Programming,Introductory/Pre-Major,24wi,Lin,Kevin Lin,Computer Science,1.8,3.5,215,18.9815,cs-dept,https://www.ratemyprofessors.com/professor/2574020
CSE163,Intermediate Data Programming,Introductory/Pre-Major,25au,Lin,Kevin Lin,Computer Science,1.8,3.5,215,18.9815,cs-dept,https://www.ratemyprofessors.com/professor/2574020
CSE163,Intermediate Data Programming,Introductory/Pre-Major,25sp,Lin,Kevin Lin,Computer Science,1.8,3.5,215,18.9815,cs-dept,https://www.ratemyprofessors.com/professor/2574020
CSE163,Intermediate Data Programming,Introductory/Pre-Major,25su,Choi,,,,,,,no_cs_match,
CSE163,Intermediate Data Programming,Introductory/Pre-Major,25wi,Fitz Gibbon,Andrew Gibbon,Computer Science,2.9,3.9,17,41.1765,unique,https://www.ratemyprofessors.com/professor/2518735
CSE163,Intermediate Data Programming,Introductory/Pre-Major,25wi,Lin,Kevin Lin,Computer Science,1.8,3.5,215,18.9815,cs-dept,https://www.ratemyprofessors.com/professor/2574020
CSE163,Intermediate Data Programming,Introductory/Pre-Major,26sp,Salguero,Adrian Salguero,Computer Science,5.0,2.8,4,100.0,unique,https://www.ratemyprofessors.com/professor/3076738
CSE163,Intermediate Data Programming,Introductory/Pre-Major,26su,Kapoor,,,,,,,not_found,
CSE163,Intermediate Data Programming,Introductory/Pre-Major,26wi,Choi,,,,,,,no_cs_match,
CSE180,Introduction to Data Science,Introductory/Pre-Major,19sp,Maas,Ryan Maas,Engineering,4.8,2.7,34,100.0,unique,https://www.ratemyprofessors.com/professor/2631702
CSE180,Introduction to Data Science,Introductory/Pre-Major,20sp,Maas,Ryan Maas,Engineering,4.8,2.7,34,100.0,unique,https://www.ratemyprofessors.com/professor/2631702
